Topic,TimeQueried,Video_Title,Video_ID,Published_AT,Duration,ViewCount,LikeCount,DislikeCount,favoriteCount,Definition,Caption,Zscore_Trend,Score
Artificial Intelligence,2020-08-22 0:45:34,Artificial Intelligence,5J5bDQHQR1g,2016-12-22T16:12:59Z,707,2577989,98013,1150,0,hd,True,1,1.612940641
Artificial Intelligence,2020-08-22 0:45:34,AlphaGo - The Movie | Full Documentary,WXuK6gekU1Y,2020-03-13T14:04:51Z,5428,3426377,56190,1234,0,hd,True,1,1.599762717
Artificial Intelligence,2020-08-22 0:45:34,Inteligência Artificial jogando o jogo mais difícil do mundo!,fc45RArghtY,2019-10-07T22:27:38Z,781,1070509,88030,1253,0,hd,True,1,1.5660138609999998
Artificial Intelligence,2020-08-22 0:45:34,In the Age of AI (full film) | FRONTLINE,5dZ_lvDgevk,2019-12-02T19:00:56Z,6857,3264128,40628,2040,0,hd,True,1,1.565921759
Artificial Intelligence,2020-08-22 0:45:34,What happens when our computers get smarter than we are? | Nick Bostrom,MnT1xgZgkpk,2015-04-27T16:15:54Z,992,2261463,31126,1295,0,hd,True,1,1.550589231
Artificial Intelligence,2020-08-22 0:45:34,The Artificial Intelligence That Deleted A Century,-JlxuQ7tPgQ,2018-12-06T16:00:00Z,376,1185774,79772,1851,0,hd,True,1,1.549210321
Artificial Intelligence,2020-08-22 0:45:34,Elon Musk: Tesla Autopilot | Lex Fridman Podcast #18,dEv99vxKjVI,2019-04-12T15:19:13Z,1965,1198373,34864,738,0,hd,True,1,1.5397648069999998
Artificial Intelligence,2020-08-22 0:45:34,Artificial intelligence &amp; algorithms: pros &amp; cons | DW Documentary (AI documentary),s0dMTAQM4cw,2019-09-26T18:00:05Z,2546,1597040,18747,805,0,hd,True,1,1.5356762119999998
Artificial Intelligence,2020-08-22 0:45:34,How This Guy Uses A.I. to Create Art | Obsessed | WIRED,I-EIVlHvHRM,2020-01-16T17:00:08Z,633,786516,31074,484,0,hd,True,1,1.5323976769999998
Artificial Intelligence,2020-08-22 0:45:34,"Elon Musk: Neuralink, AI, Autopilot, and the Pale Blue Dot | Lex Fridman Podcast #49",smK9dgdTl40,2019-11-12T17:35:22Z,2170,976001,31792,738,0,hd,True,1,1.531951901
Artificial Intelligence,2020-08-22 0:45:34,How smart is today&#39;s artificial intelligence?,IJKjMIU55pE,2017-12-19T14:00:00Z,473,1024177,22462,622,0,hd,True,1,1.528546126
Artificial Intelligence,2020-08-22 0:45:34,The Real Reason to be Afraid of Artificial Intelligence | Peter Haas | TEDxDirigo,TRzBk_KuIaM,2017-12-15T15:55:54Z,758,1924492,24463,2069,0,hd,True,1,1.52000831
Artificial Intelligence,2020-08-22 0:45:34,Photoshopped Videos created using Artificial Intelligence!! | Explained by Dhruv Rathee,EW64ikvzHOI,2018-07-14T09:46:25Z,964,528277,31331,832,0,hd,True,1,1.51852845
