Topic,TimeQueried,Video_Title,Video_ID,Published_AT,Duration,ViewCount,LikeCount,DislikeCount,favoriteCount,Definition,Caption,Zscore_Trend,Score
Machine Learning,2020-08-22 18:04:41,How Far is Too Far? | The Age of A.I.,UwsrzCVZAb8,2019-12-18T17:00:08Z,2080,44560150,672433,25106,0,hd,True,0,2.0513496730000003
Machine Learning,2020-08-22 0:45:34,Stealing Baseball Signs with a Phone (Machine Learning),PmlRbfSavbI,2019-06-30T17:23:23Z,849,13186727,306668,8468,0,hd,True,1,1.8707418919999999
Machine Learning,2020-08-22 0:45:34,How Machines Learn,R9OHn5ZF4Uo,2017-12-18T14:39:33Z,535,5042018,338075,2333,0,hd,True,1,1.8314405930000002
Machine Learning,2020-08-22 0:45:34,Fallout 4 - Intro Cinematic (Colorized using AI Machine Learning) [IMPRESSIVE RESULTS],gYNajpnyZiM,2019-07-21T17:15:49Z,196,3083265,113520,2115,0,hd,True,1,1.615797327
Machine Learning,2020-08-22 0:45:34,Hello World - Machine Learning Recipes #1,cKxRvEZd3Mw,2016-03-30T16:59:12Z,413,2468094,54029,547,0,hd,True,1,1.589867378
Machine Learning,2020-08-22 0:45:34,"What is backpropagation really doing? | Deep learning, chapter 3",Ilg3gGewQ5U,2017-11-03T14:03:37Z,834,1964132,35684,301,0,hd,True,1,1.568885954
Machine Learning,2020-08-22 18:04:41,The 7 steps of machine learning,nKW8Ndu7Mjw,2017-08-31T19:19:11Z,636,1807881,29456,712,0,hd,True,1,1.5511378359999999
Machine Learning,2020-08-22 0:45:34,🖥️ WRITING MY FIRST MACHINE LEARNING GAME! (1/4),ZX2Hyu5WoFg,2017-12-08T18:30:01Z,529,1732190,52307,1585,0,hd,True,1,1.547430412
Machine Learning,2020-08-22 0:45:34,How machine learning is being used to help save the world’s bees,sgCGHBek1To,2019-10-24T22:19:44Z,87,1579182,5450,141,0,hd,True,1,1.539782015
Machine Learning,2020-08-22 0:45:34,Artificial Intelligence Full Course | Artificial Intelligence Tutorial for Beginners | Edureka,JMUxmLyrhSk,2019-06-02T08:53:49Z,17571,1056534,23420,424,0,hd,True,1,1.534475319
Machine Learning,2020-08-22 0:45:34,Deep Learning State of the Art (2020) | MIT Deep Learning Series,0VH1Lim8gL8,2020-01-10T16:04:31Z,5262,694978,16913,313,0,hd,True,1,1.5230775730000001
Machine Learning,2020-08-22 0:45:34,11. Introduction to Machine Learning,h0e2HAPTGF4,2017-05-19T14:22:40Z,3091,769348,9837,226,0,hd,True,1,1.521400756
Machine Learning,2020-08-22 18:04:41,MIT Deep Learning Basics: Introduction and Overview,O5xeyoRL95U,2019-01-11T16:47:40Z,4086,655585,12282,259,0,hd,True,1,1.5197550180000001
Machine Learning,2020-08-22 0:45:34,MIT Deep Learning Basics: Introduction and Overview,O5xeyoRL95U,2019-01-11T16:47:40Z,4086,654982,12269,258,0,hd,True,1,1.519752468
Machine Learning,2020-08-22 0:45:34,MIT Introduction to Deep Learning | 6.S191,njKP3FqW3Sk,2020-02-08T14:40:57Z,3172,510542,11294,96,0,hd,True,1,1.5190612119999998
Machine Learning,2020-08-22 18:04:41,What is Artificial Intelligence (or Machine Learning)?,mJeNghZXtMo,2017-01-30T20:19:44Z,375,777650,6503,271,0,hd,True,1,1.518044014
Machine Learning,2020-08-22 18:04:41,AI vs Machine Learning vs Deep Learning | Machine Learning Training with Python | Edureka,WSbgixdC9g8,2018-03-29T15:27:24Z,890,930850,16101,772,0,hd,True,1,1.518039001
Machine Learning,2020-08-22 0:45:34,AI vs Machine Learning vs Deep Learning | Machine Learning Training with Python | Edureka,WSbgixdC9g8,2018-03-29T15:27:24Z,890,930497,16095,772,0,hd,True,1,1.518025736
Machine Learning,2020-08-22 0:45:34,Python Machine Learning Tutorial #1 - Introduction,ujTCoH21GlA,2019-01-16T20:00:05Z,681,524013,9896,164,0,hd,True,1,1.5168069030000002
Machine Learning,2020-08-22 0:45:34,Machine Learning Fundamentals: Bias and Variance,EuBBz3bI-aA,2018-09-17T16:00:42Z,396,361938,10553,115,0,hd,True,1,1.514425381
Machine Learning,2020-08-22 0:45:34,Let’s Write a Pipeline - Machine Learning Recipes #4,84gqSbLcBFE,2016-05-11T17:00:16Z,474,452121,5597,79,0,hd,True,1,1.513631138
Machine Learning,2020-08-22 0:45:34,How to Make a Prediction - Intro to Deep Learning #1,vOppzHpvTiQ,2017-01-14T01:00:01Z,472,562306,8674,331,0,hd,True,1,1.51309656
Machine Learning,2020-08-22 0:45:34,MIT 6.S094: Introduction to Deep Learning and Self-Driving Cars,1L0TKZQcUtA,2017-01-16T17:11:59Z,5489,471947,5480,126,0,hd,True,1,1.5129831
